# Plan Antiguo y Nuevo Testamento — 365 días: un pasaje del AT y uno del NT por día.
# Toda la Biblia en un año. Una línea por día (día 1 = primera línea de datos).
# Etiquetas en español; libro+capítulo se mapean a USFM al sembrar (scripts/usfm.mjs).
Génesis 1-3; Mateo 1
Génesis 4-6; Mateo 2
Génesis 7-9; Mateo 3
Génesis 10-12; Mateo 4
Génesis 13-15; Mateo 5:1-26
Génesis 16-17; Mateo 5:27-48
Génesis 18-19; Mateo 6:1-18
Génesis 20-22; Mateo 6:19-34
Génesis 23-24; Mateo 7
Génesis 25-26; Mateo 8:1-17
Génesis 27-28; Mateo 8:18-34
Génesis 29-30; Mateo 9:1-17
Génesis 31-32; Mateo 9:18-38
Génesis 33-35; Mateo 10:1-20
Génesis 36-38; Mateo 10:21-42
Génesis 39-40; Mateo 11
Génesis 41-42; Mateo 12:1-23
Génesis 43-45; Mateo 12:24-50
Génesis 46-48; Mateo 13:1-30
Génesis 49-50; Mateo 13:31-58
Éxodo 1-3; Mateo 14:1-21
Éxodo 4-6; Mateo 14:22-36
Éxodo 7-8; Mateo 15:1-20
Éxodo 9-11; Mateo 15:21-39
Éxodo 12-13; Mateo 16
Éxodo 14-15; Mateo 17
Éxodo 16-18; Mateo 18:1-20
Éxodo 19-20; Mateo 18:21-35
Éxodo 21-22; Mateo 19
Éxodo 23-24; Mateo 20:1-16
Éxodo 25-26; Mateo 20:17-34
Éxodo 27-28; Mateo 21:1-22
Éxodo 29-30; Mateo 21:23-46
Éxodo 31-33; Mateo 22:1-22
Éxodo 34-35; Mateo 22:23-46
Éxodo 36-38; Mateo 23:1-22
Éxodo 39-40; Mateo 23:23-39
Levítico 1-3; Mateo 24:1-28
Levítico 4-5; Mateo 24:29-51
Levítico 6-7; Mateo 25:1-30
Levítico 8-10; Mateo 25:31-46
Levítico 11-12; Mateo 26:1-25
Levítico 13; Mateo 26:26-50
Levítico 14; Mateo 26:51-75
Levítico 15-16; Mateo 27:1-26
Levítico 17-18; Mateo 27:27-50
Levítico 19-20; Mateo 27:51-66
Levítico 21-22; Mateo 28
Levítico 23-24; Marcos 1:1-22
Levítico 25; Marcos 1:23-45
Levítico 26-27; Marcos 2
Números 1-2; Marcos 3:1-19
Números 3-4; Marcos 3:20-35
Números 5-6; Marcos 4:1-20
Números 7-8; Marcos 4:21-41
Números 9-11; Marcos 5:1-20
Números 12-14; Marcos 5:21-43
