# Plan M'Cheyne — 365 días, 4 pasajes por día (dominio público).
# Fuente: bibleplan.org/plans/mcheyne (calendario canónico de R. M. M'Cheyne).
# Etiquetas traducidas al español; libro+capítulo se mapean a USFM al sembrar.
Génesis 1; Mateo 1; Esdras 1; Hechos 1
Génesis 2; Mateo 2; Esdras 2; Hechos 2
Génesis 3; Mateo 3; Esdras 3; Hechos 3
Génesis 4; Mateo 4; Esdras 4; Hechos 4
Génesis 5; Mateo 5; Esdras 5; Hechos 5
Génesis 6; Mateo 6; Esdras 6; Hechos 6
Génesis 7; Mateo 7; Esdras 7; Hechos 7
Génesis 8; Mateo 8; Esdras 8; Hechos 8
Génesis 9-10; Mateo 9; Esdras 9; Hechos 9
Génesis 11; Mateo 10; Esdras 10; Hechos 10
Génesis 12; Mateo 11; Nehemías 1; Hechos 11
Génesis 13; Mateo 12; Nehemías 2; Hechos 12
Génesis 14; Mateo 13; Nehemías 3; Hechos 13
Génesis 15; Mateo 14; Nehemías 4; Hechos 14
Génesis 16; Mateo 15; Nehemías 5; Hechos 15
Génesis 17; Mateo 16; Nehemías 6; Hechos 16
Génesis 18; Mateo 17; Nehemías 7; Hechos 17
Génesis 19; Mateo 18; Nehemías 8; Hechos 18
Génesis 20; Mateo 19; Nehemías 9; Hechos 19
Génesis 21; Mateo 20; Nehemías 10; Hechos 20
Génesis 22; Mateo 21; Nehemías 11; Hechos 21
Génesis 23; Mateo 22; Nehemías 12; Hechos 22
Génesis 24; Mateo 23; Nehemías 13; Hechos 23
Génesis 25; Mateo 24; Ester 1; Hechos 24
Génesis 26; Mateo 25; Ester 2; Hechos 25
Génesis 27; Mateo 26; Ester 3; Hechos 26
Génesis 28; Mateo 27; Ester 4; Hechos 27
Génesis 29; Mateo 28; Ester 5; Hechos 28
Génesis 30; Marcos 1; Ester 6; Romanos 1
Génesis 31; Marcos 2; Ester 7; Romanos 2
Génesis 32; Marcos 3; Ester 8; Romanos 3
Génesis 33; Marcos 4; Ester 9-10; Romanos 4
Génesis 34; Marcos 5; Job 1; Romanos 5
Génesis 35-36; Marcos 6; Job 2; Romanos 6
Génesis 37; Marcos 7; Job 3; Romanos 7
Génesis 38; Marcos 8; Job 4; Romanos 8
Génesis 39; Marcos 9; Job 5; Romanos 9
Génesis 40; Marcos 10; Job 6; Romanos 10
Génesis 41; Marcos 11; Job 7; Romanos 11
Génesis 42; Marcos 12; Job 8; Romanos 12
Génesis 43; Marcos 13; Job 9; Romanos 13
Génesis 44; Marcos 14; Job 10; Romanos 14
Génesis 45; Marcos 15; Job 11; Romanos 15
Génesis 46; Marcos 16; Job 12; Romanos 16
Génesis 47; Lucas 1:1-38; Job 13; 1 Corintios 1
Génesis 48; Lucas 1:39-80; Job 14; 1 Corintios 2
Génesis 49; Lucas 2; Job 15; 1 Corintios 3
Génesis 50; Lucas 3; Job 16-17; 1 Corintios 4
Éxodo 1; Lucas 4; Job 18; 1 Corintios 5
Éxodo 2; Lucas 5; Job 19; 1 Corintios 6
Éxodo 3; Lucas 6; Job 20; 1 Corintios 7
Éxodo 4; Lucas 7; Job 21; 1 Corintios 8
Éxodo 5; Lucas 8; Job 22; 1 Corintios 9
Éxodo 6; Lucas 9; Job 23; 1 Corintios 10
Éxodo 7; Lucas 10; Job 24; 1 Corintios 11
Éxodo 8; Lucas 11; Job 25-26; 1 Corintios 12
Éxodo 9; Lucas 12; Job 27; 1 Corintios 13
Éxodo 10; Lucas 13; Job 28; 1 Corintios 14
Éxodo 11:1-12:20; Lucas 14; Job 29; 1 Corintios 15
Éxodo 12:21-50; Lucas 15; Job 30; 1 Corintios 16
Éxodo 13; Lucas 16; Job 31; 2 Corintios 1
Éxodo 14; Lucas 17; Job 32; 2 Corintios 2
Éxodo 15; Lucas 18; Job 33; 2 Corintios 3
Éxodo 16; Lucas 19; Job 34; 2 Corintios 4
Éxodo 17; Lucas 20; Job 35; 2 Corintios 5
Éxodo 18; Lucas 21; Job 36; 2 Corintios 6
Éxodo 19; Lucas 22; Job 37; 2 Corintios 7
Éxodo 20; Lucas 23; Job 38; 2 Corintios 8
Éxodo 21; Lucas 24; Job 39; 2 Corintios 9
Éxodo 22; Juan 1; Job 40; 2 Corintios 10
Éxodo 23; Juan 2; Job 41; 2 Corintios 11
Éxodo 24; Juan 3; Job 42; 2 Corintios 12
Éxodo 25; Juan 4; Proverbios 1; 2 Corintios 13
Éxodo 26; Juan 5; Proverbios 2; Gálatas 1
Éxodo 27; Juan 6; Proverbios 3; Gálatas 2
Éxodo 28; Juan 7; Proverbios 4; Gálatas 3
Éxodo 29; Juan 8; Proverbios 5; Gálatas 4
Éxodo 30; Juan 9; Proverbios 6; Gálatas 5
Éxodo 31; Juan 10; Proverbios 7; Gálatas 6
Éxodo 32; Juan 11; Proverbios 8; Efesios 1
Éxodo 33; Juan 12; Proverbios 9; Efesios 2
Éxodo 34; Juan 13; Proverbios 10; Efesios 3
Éxodo 35; Juan 14; Proverbios 11; Efesios 4
